,final_review_text,final_rating,sentiment,clean_review
21,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5.0,1.0,perfect go yonex never disappoint pro feather might look little cheap first glance aint like quality best bottom cork amazing play open court perfectly glide around balanced base durability seems go fine issue intermediate player using one shuttle since day con slightly higher range use lb bg racquet pread
22,superbREAD MORE,4.0,1.0,superbread
23,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1.0,0.0,looked like defective without balance throw read
24,Genuine product at very reasonable price....got for Rs 630/-READ MORE,4.0,1.0,genuine product reasonable pricegot r read
25,Good sealed Original Yonex ShuttlesREAD MORE,5.0,1.0,good sealed original yonex shuttlesread
26,They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2.0,0.0,expectedthe head portion break soondefective piecesread
27,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4.0,1.0,giving star price hike please anyone suggest shuttle cork performance lower priceread
28,quality is pooverREAD MORE,5.0,1.0,quality pooverread
29,good productREAD MORE,5.0,1.0,good productread
30,Good product.....READ MORE,5.0,1.0,good productread
31,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4.0,1.0,received good conditionam really satisfied productbut satisfied delivery boy always coin returnit mean paying extra money item also know opportunity never coin returni really dont like kind selfishnessread
32,"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2.0,0.0,using found shuttle quality upto level box quality stickerread
33,Local productREAD MORE,1.0,0.0,local productread
34,Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2.0,0.0,shuttle separated base single shot poor qualityread
35,shuttle is over rotatingREAD MORE,2.0,0.0,shuttle rotatingread
36,Very bad quality.READ MORE,1.0,0.0,bad qualityread
37,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1.0,0.0,worst quality shot ball started rotateread
39,No one better shuttles in the market.good quality and reasonable price.READ MORE,5.0,1.0,one better shuttle marketgood quality reasonable priceread
40,low qualityREAD MORE,1.0,0.0,low qualityread
41,Superb quality... And best price.. Thanks to flipkart..!READ MORE,4.0,1.0,superb quality best price thanks flipkartread
42,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1.0,0.0,second quality shuttle dont buy almost torn shaped worst experience go buy shop cost around read
43,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4.0,1.0,dont think genuine co checked official website yonex hologram number yet product bad job well definitely comparing one original one shop near let others know difference anyread
44,Very bad quality this timeREAD MORE,1.0,0.0,bad quality timeread
45,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1.0,0.0,ive received duplicate n cheapest ball kept inside broken box done deleberately worst experience ive ever flipkart buy anything except badminton yonex mavis read
46,"Quality is not good, rejected qualityREAD MORE",1.0,0.0,quality good rejected qualityread
47,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5.0,1.0,green cap shuttle good indoor well outdoor play though slow speed durable thanks great dealread
48,Really Nice productQuick delivery Thanks filpkartREAD MORE,5.0,1.0,really nice productquick delivery thanks filpkartread
49,Very nice shuttleREAD MORE,5.0,1.0,nice shuttleread
50,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1.0,0.0,horrible producteach shuttle didnt last even single dayextremely poor qualitypatheticread
51,Quality very low. Not orginalREAD MORE,1.0,0.0,quality low orginalread
52,WorstREAD MORE,1.0,0.0,worstread
53,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1.0,0.0,difference online quality market quality local market product far better online productsread
54,Dont but it.... worst productREAD MORE,1.0,0.0,dont worst productread
55,Low quality very bad quality 😡READ MORE,1.0,0.0,low quality bad quality read
56,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1.0,0.0,product original cork used come within day use please dont buy shuttle original rather buy shop shop rate sameread
57,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1.0,0.0,quality good earlier also manufactur date also long back earlier shuttlecock received max past month manufacturer also backread
58,Not genuine productREAD MORE,1.0,0.0,genuine productread
59,Waste productREAD MORE,1.0,0.0,waste productread
60,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1.0,0.0,used shuttle item quality slow disappointed timeread
61,Very High PriceREAD MORE,1.0,0.0,high priceread
62,"Bad bad , compare to ah year back coming mavis 350READ MORE",1.0,0.0,bad bad compare ah year back coming mavis read
63,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5.0,1.0,yonex mavis best among yonex shuttlecock playing one year price increasing unnecessarily r last yearread
64,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1.0,0.0,bad product quality used shuttle day totally wastage money copied productread
65,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1.0,0.0,shuttle heavier specification felt like playing cheap rip original mavis read
66,3rd class quality  I want Returns but time is overREAD MORE,1.0,0.0,rd class quality want return time overread
67,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1.0,0.0,worst shuttle ever shuttle started spinning shot even come gameread
68,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1.0,0.0,certain cork damaged certain cork even came matchesread
69,Very bad quality 👎READ MORE,1.0,0.0,bad quality read
70,Not expected qualityREAD MORE,1.0,0.0,expected qualityread
71,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1.0,0.0,bad quality couldnt play hr shuttleread
72,not durable. very poor qualityREAD MORE,1.0,0.0,durable poor qualityread
73,but price is littel bit highREAD MORE,4.0,1.0,price littel bit highread
74,GoodREAD MORE,5.0,1.0,goodread
76,not the required one.READ MORE,5.0,1.0,required oneread
77,This product is not original.please avoid online purchase.READ MORE,1.0,0.0,product originalplease avoid online purchaseread
78,One shuttle was damaged and vobling..let me know what to doREAD MORE,1.0,0.0,one shuttle damaged voblinglet know doread
79,Good quality productREAD MORE,4.0,1.0,good quality productread
80,Good shuttle and  classic productREAD MORE,5.0,1.0,good shuttle classic productread
81,got defective piecesREAD MORE,1.0,0.0,got defective piecesread
82,"bad packing, unsatisfiedREAD MORE",1.0,0.0,bad packing unsatisfiedread
83,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5.0,1.0,pro quality product yonexit original shuttle run long prompt delivery flipkart shuttle durableconsnoneread
84,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5.0,1.0,good quality nice product thanks fpr fast deliveryread
85,Nice cockeREAD MORE,5.0,1.0,nice cockeread
86,Good qualityREAD MORE,5.0,1.0,good qualityread
87,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1.0,0.0,scratch code mentioned barrel verified yonex sunrise website mentioned product duplicateread
88,it's awsm 😎READ MORE,4.0,1.0,awsm read
89,reasonable priceREAD MORE,5.0,1.0,reasonable priceread
90,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5.0,1.0,excellent product original product received fast delivery second tough go itread
91,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5.0,1.0,one best offer given flipkart best shuttle tournament training always use type shuttle play yonex mavis green thanks flipkart best deal always put type deal booked onlyread
92,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4.0,1.0,good question lasting match purchase yonex mavis blue one little bit fast good smash lasting like green capread
93,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4.0,1.0,mavis quite durable really good starter recommend mavis best practice sessionsread
94,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4.0,1.0,received product committed time thanks flipkart mavis really awesome product doesnt matter whether beginner intermediate advanced level player mavis definitely perfectly work playing last yearsread
95,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5.0,1.0,good nicely packed everyshuttle nice insude perfect flightread
96,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5.0,1.0,got product earlier expected r th april sale box properly sealed feb packingimport date sure mrp way cheaper market price r per box also checked popular website one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal againread
97,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5.0,1.0,best choice people want practice indoor outdoor badminton get financial obligation feather shuttle mavis hard find time savior always available yellow one bit better outdoor white fine indoors respective colour given backdrop flipkart offered best price almost season far longevity shuttle starkly less played outdoor dueread
98,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4.0,1.0,long time got entire box genuine shuttle dynamic pricing strategy big everyday price cant go otherwise would happy buyread
99,very good product n durable but not good enough speed slows down little in mid airREAD MORE,4.0,1.0,good product n durable good enough speed slows little mid airread
100,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4.0,1.0,shuttle imported february bought march last serial number revealed scratching sticker show item genuine start play yet item look good sturdy got think worth price also happy get item delivered quicklyread
101,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5.0,1.0,best shuttlecock life far better li ning shuttle price range purchased r sale flight also better shuttlecocksread
102,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4.0,1.0,good n nice balanced shuttle thanks retailnet n flipkart hope wel get convincing rate lowered oneread
103,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5.0,1.0,shuttle best one excellent price doesnt matter read
104,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1.0,0.0,quality badper day one cork finishedmay look like duplicate mavis corksi purchased many cork box sellersthat cork box come day playing box stay day understand delicate cork box isread
105,Cost is too high I hate the productREAD MORE,1.0,0.0,cost high hate productread
106,Very poor quality...inconsistent speed...poor flightREAD MORE,1.0,0.0,poor qualityinconsistent speedpoor flightread
107,Yonex is always best in quality....READ MORE,5.0,1.0,yonex always best qualityread
108,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1.0,0.0,worst shuttle doesnt last even day poor quality sure due stock issue copy product would never buy flipkartread
109,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5.0,1.0,used product good economic use durable good balance long lasting even sustains wrong shot quiet economic compared feather shuttlesread
110,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5.0,1.0,im happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied gamesread
111,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5.0,1.0,amazing shuttlecockdurable best qualitygo itread
112,checked at Sunrisetnt.com . found genuineREAD MORE,5.0,1.0,checked sunrisetntcom found genuineread
113,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1.0,0.0,horrible st order received mavis sealed bill mavis thought mistake asked replacement replacement received box mavis sealed inside cheap shuttle local quality buy flipkartread
114,AverageREAD MORE,2.0,0.0,averageread
115,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5.0,1.0,excellent synthetic shuttle yonex used well prefer yellow one visibility general quite durable long lasting one shuttle easily last half dozen dozen intense game flight becomes unacceptable found travel shorter distance therefore prefer themread
116,Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,5.0,1.0,best shuttle available market used shuttle till aware better shuttlethe price got flipkart really best price researched checking online store sport shop definitely best price could findread
117,"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",1.0,0.0,bad quality pirchase box fastread
118,Best shuttle available online no more discription needed.READ MORE,5.0,1.0,best shuttle available online discription neededread
119,long lasting product.....nice product....READ MORE,5.0,1.0,long lasting productnice productread
120,best shuttleREAD MORE,5.0,1.0,best shuttleread
121,🏸Good Quality... 🏸READ MORE,5.0,1.0,good quality read
122,Fabulous itemREAD MORE,5.0,1.0,fabulous itemread
123,Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,5.0,1.0,nice qualityvery good producti much thankful flipkart courier company delivering quicklyi happyand definitely tell friend order productread
124,Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1.0,0.0,feel quality far less compared previous set brought platform shuttle breaking wobbling per hr game session feeling cheatedread
125,This is the original mavis 350READ MORE,5.0,1.0,original mavis read
126,Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,1.0,0.0,bad quality poor quality playing ahuttles cap looseread
128,Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,1.0,0.0,poor quality horrible didnt play two game shuttleread
129,Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,1.0,0.0,worst product every ball box got flat within one two stroke disappointed fact flipkart accepting replacement open box delivery without using product could know qualityread
130,Best oneREAD MORE,5.0,1.0,best oneread
131,Excellent product👌READ MORE,5.0,1.0,excellent productread
132,Very Bad Quality in filpkartREAD MORE,1.0,0.0,bad quality filpkartread
134,Bad qualityREAD MORE,1.0,0.0,bad qualityread
135,Don't have good qualityREAD MORE,1.0,0.0,dont good qualityread
136,Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,1.0,0.0,quality shuttle per mavis standardsread
137,It's is good product and the service was very goodREAD MORE,5.0,1.0,good product service goodread
138,2nd qualityREAD MORE,1.0,0.0,nd qualityread
139,Local productREAD MORE,2.0,0.0,local productread
140,Very old stock.. not lasts to even 5 gamesREAD MORE,2.0,0.0,old stock last even gamesread
141,All shuttles are not good in view of balance.READ MORE,1.0,0.0,shuttle good view balanceread
142,OkREAD MORE,5.0,1.0,okread
143,Nice product all suttles are good 🥰🥰READ MORE,5.0,1.0,nice product suttles good read
144,Nice productREAD MORE,5.0,1.0,nice productread
145,Old one onlyREAD MORE,2.0,0.0,old one onlyread
146,Super ballREAD MORE,5.0,1.0,super ballread
147,According to cost it's average lifeREAD MORE,5.0,1.0,according cost average liferead
148,So worstREAD MORE,2.0,0.0,worstread
149,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,1.0,0.0,poor quality read
150,Quality not good              It was broken after 2 matchREAD MORE,1.0,0.0,quality good broken matchread
151,Nice product but damage in 1 daysREAD MORE,2.0,0.0,nice product damage daysread
152,Not good at all this is the worst product I have bought at flipkartREAD MORE,1.0,0.0,good worst product bought flipkartread
153,Low quality. Not durabalityREAD MORE,5.0,1.0,low quality durabalityread
154,BadlyREAD MORE,1.0,0.0,badlyread
155,Very bad qualityREAD MORE,1.0,0.0,bad qualityread
156,Very bad product a word to describe I write duplicate productREAD MORE,1.0,0.0,bad product word describe write duplicate productread
157,This time quality very very worstREAD MORE,1.0,0.0,time quality worstread
158,Poor quality ☹️READ MORE,2.0,0.0,poor quality read
160,"This shuttles were duplicates, these were not up to the mark.READ MORE",2.0,0.0,shuttle duplicate markread
161,Very bad product I ever receivedREAD MORE,1.0,0.0,bad product ever receivedread
162,Bad copy quality riceveREAD MORE,1.0,0.0,bad copy quality riceveread
163,Waste of moneyREAD MORE,1.0,0.0,waste moneyread
164,Quality is very bad and very very tired class shuttecockREAD MORE,1.0,0.0,quality bad tired class shuttecockread
165,WorstREAD MORE,1.0,0.0,worstread
166,So poor qualityREAD MORE,1.0,0.0,poor qualityread
167,Reate is wery to muchREAD MORE,1.0,0.0,reate wery muchread
168,The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,1.0,0.0,worst shuttle ever used far dont buy product low qualityread
169,not upto mark cork getting cracksREAD MORE,2.0,0.0,upto mark cork getting cracksread
170,Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,1.0,0.0,poor quality lasting one set base breakinf top wornread
171,"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",1.0,0.0,bad quality good dont like prefer beacuse delivery late comfortable change elf near product also deliver emergency thing dont order flipcart better go apps really bad service product quality also badread
172,Very goodREAD MORE,5.0,1.0,goodread
173,Good quality of shuttlesREAD MORE,5.0,1.0,good quality shuttlesread
174,"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",5.0,1.0,im writing review rated star received duplicate productnow im rating star received original yonex mavis shuttlethank future hope receive original productsread
175,Bad productedREAD MORE,1.0,0.0,bad productedread
176,Good productREAD MORE,4.0,1.0,good productread
178,If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,5.0,1.0,u play hour daily shuttle would last maximum daysread
179,Good productREAD MORE,5.0,1.0,good productread
181,GoodREAD MORE,5.0,1.0,goodread
182,Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,5.0,1.0,superb price higher day day two week price gained rsread
183,Good qualityREAD MORE,5.0,1.0,good qualityread
185,BestREAD MORE,5.0,1.0,bestread
186,I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,4.0,1.0,play every day play really hard court always best choiceread
187,This item is so good you can buy it it is originalREAD MORE,5.0,1.0,item good buy originalread
188,Excellent for Indoor courtREAD MORE,5.0,1.0,excellent indoor courtread
189,Genuine product. Nice packing.READ MORE,5.0,1.0,genuine product nice packingread
190,Good quality..😍🖤READ MORE,5.0,1.0,good qualityread
191,Nice thanks  FlipkartREAD MORE,4.0,1.0,nice thanks flipkartread
192,Nice productREAD MORE,5.0,1.0,nice productread
194,Nice productREAD MORE,5.0,1.0,nice productread
195,wow productREAD MORE,4.0,1.0,wow productread
196,1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,1.0,0.0,box box bad shuttle shuttle box playableread
197,Product is not same as shown in the picture.READ MORE,1.0,0.0,product shown pictureread
199,"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1.0,0.0,realized buy shuttle online ever cheap duplicate product refund amount replacement product plz dont waste moneyread
200,Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,2.0,0.0,shuttle okayishits movement air bit different mavis sread
202,shuttle was not of genuine conectarte qualityREAD MORE,1.0,0.0,shuttle genuine conectarte qualityread
203,poor qualityREAD MORE,1.0,0.0,poor qualityread
204,2 balls are waste. they are rotate. unable to play.READ MORE,4.0,1.0,ball waste rotate unable playread
205,very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,1.0,0.0,poor quality shuttle standing daysread
206,original productREAD MORE,5.0,1.0,original productread
207,Shuttle not goodREAD MORE,2.0,0.0,shuttle goodread
208,good as expectedREAD MORE,5.0,1.0,good expectedread
209,goodREAD MORE,5.0,1.0,goodread
210,Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,1.0,0.0,yonex mavis pure item shuttle oldread
211,"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",5.0,1.0,nice product suggest youplz buy product original productmade japan read
212,Good👍READ MORE,4.0,1.0,goodread
213,very niceREAD MORE,5.0,1.0,niceread
214,niceREAD MORE,5.0,1.0,niceread
215,nice shuttle for outdoorREAD MORE,5.0,1.0,nice shuttle outdoorread
216,good productREAD MORE,5.0,1.0,good productread
217,amazing cost and amazing oneREAD MORE,5.0,1.0,amazing cost amazing oneread
218,The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,4.0,1.0,packing made flipkart absolutely perfect mavis pretty good think cost side get r play hard shuttlesread
219,good dilevary and very good productREAD MORE,5.0,1.0,good dilevary good productread
222,Looks like these are fake shuttles & not sold by yonex.READ MORE,1.0,0.0,look like fake shuttle sold yonexread
223,worst product not to buy low qualityREAD MORE,1.0,0.0,worst product buy low qualityread
224,shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,1.0,0.0,shuttle shapeless may mishandelrd transportationread
225,product is not goodREAD MORE,1.0,0.0,product goodread
226,"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",1.0,0.0,day delivery something really frustrating even till didnt get product please work serviceread
227,bad qualityREAD MORE,1.0,0.0,bad qualityread
228,Very good productREAD MORE,5.0,1.0,good productread
229,best quality shuttlesREAD MORE,5.0,1.0,best quality shuttlesread
230,good quality. value the moneyREAD MORE,5.0,1.0,good quality value moneyread
232,Very worstREAD MORE,1.0,0.0,worstread
233,NOT BAD....READ MORE,4.0,1.0,badread
234,shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,5.0,1.0,shuttle good playing last day shuttle still goodvalue moneythank u flipkartread
235,"Bad Quality,,,,,,READ MORE",1.0,0.0,bad qualityread
236,Quality is not good. Little bit fast.READ MORE,2.0,0.0,quality good little bit fastread
237,Excellent it's original as I buy in local sports storesREAD MORE,5.0,1.0,excellent original buy local sport storesread
238,"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",1.0,0.0,poor quality shuttle become broke within hour playing ie within dayread
239,The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,1.0,0.0,shuttle worn really quickly quickly regular mavis tried verify authenticity product entering code onto website lo genuine productive attached picture reference developed hairline crack quickly half match shuttle qualityread
240,Nice product best price superREAD MORE,5.0,1.0,nice product best price superread
242,Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,4.0,1.0,optimum weight speed easy control shot easy court cover good learner even beginner base thermocol type material like yonex shurttles cork base doesnt get ruptured easily worth buyingread
